A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
,,,,,,,,,CAFE SALES DATASET,,,,,,
DATE,MONTH,WEEKDAY,TEA HOUR,TEA NAME,TEA PRICE,TEA SALES,COOKIES TYPE,COOKIES PRICE,C_SALES,SNACKS,S_PRICE,SALES,"PASTRIES , CAKES",CAKES PRICE,CAKES SALES
01-01-2024,1,2,1,NILOUFER TEA,150,74,OSMANIA CLASSIC,60,289,VEG PUFF,59,133,VANILLA CAKE,169,10
01-01-2024,1,2,2,NILOUFER TEA,150,58,OSMANIA PREMIUM,450,288,PANEER PUFF,69,61,BUTTERSCOCH CAKE,159,18
01-01-2024,1,2,3,NILOUFER TEA,150,87,BUTTER ALMOND,140,118,EGG PUFF,70,97,DRY FRUITS CAKE,220,13
01-01-2024,1,2,4,NILOUFER TEA,150,90,DRY FRUIT,140,192,ALOO SAMOSA,45,73,STRAWBERRY CAKE,250,-
01-01-2024,1,2,5,NILOUFER TEA,150,67,CHOCOCHIP,100,270,MASKA BUN,100,107,PINEAPPLE CAKE,111,29
01-01-2024,1,2,6,NILOUFER TEA,150,104,DOUBLE CHOCOCHIP,120,108,MALAI BUN,180,84,RASMALAI CAKE,250,27
01-01-2024,1,2,7,NILOUFER TEA,150,96,FRUIT BISCUIT,180,247,SANDWICH,120,116,CHOCLATE CAKE,320,20
01-01-2024,1,2,8,NILOUFER TEA,150,60,SALT BISCUIT,140,194,VEG HALEEM,320,127,CHOCO CHIPS CAKES,320,20
01-01-2024,1,2,9,NILOUFER TEA,150,107,MELTING COOKIES,200,180,ONION SAMOSA,50,149,ALMONDS CAKE,230,22
01-01-2024,1,2,10,NILOUFER TEA,150,125,ALMOND STICKS,400,202,FRENCHFRIES,250,88,BLUEBERRY CAKE,480,30
01-01-2024,1,2,11,NILOUFER TEA,150,121,MULTIGRAIN BISCUIT,210,148,CLASSIC PIZZA - S,100,81,RED VELVET PASTRY,111,25
01-01-2024,1,2,12,NILOUFER TEA,150,112,OATS BISCUIT,125,158,BURGER,165,116,BELGIUM CHOCLATE PASTRY,159,10
01-01-2024,1,2,13,NILOUFER TEA,150,98,RAGI BISCUIT,230,205,BUTTER CAKE,89,145,BLACK FOREST PASTRY,111,24
01-01-2024,1,2,14,NILOUFER TEA,150,68,COCONUT BISCUIT,150,278,BURGUR BUN,170,118,BRAZILIAN COFFEE PASTRY,159,                     -
